links,name,company,location,position,salary,level
https://www.seek.com.au/job/79632930?type=standout&ref=search-standalone,Control Systems Engineer,Saunders International Limited ,"Cairns, Cairns & Far North QLD",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80172394?type=promoted&ref=search-standalone,Senior Controls and Instrumentation Engineer,Energys ,"Mulgrave, Melbourne VIC",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80243437?type=promoted&ref=search-standalone,(Senior) Quality Analyst / Engineer - QA Automation Testing,PartsCheck ,"Seventeen Mile Rocks, Brisbane QLD",Testing & Quality Assurance (Information & Communication Technology),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80256566?type=standout&ref=search-standalone,Senior EI&C Engineer,Alliance Automation ,"Wollongong, Wollongong, Illawarra & South Coast NSW",Electrical/Electronic Engineering (Engineering),Excellent salary and employee benefits available,Full time
https://www.seek.com.au/job/80134534?type=standout&ref=search-standalone,Plant System Engineer,Colgate Palmolive ,"Villawood, Sydney NSW",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80172394?type=standout&ref=search-standalone,Senior Controls and Instrumentation Engineer,Energys ,"Mulgrave, Melbourne VIC",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80274338?type=standout&ref=search-standalone,Service Engineer,N/A,Sydney NSW,Electrical/Electronic Engineering (Engineering),$98K– $115K - Total Package PA (Incl. Car & Super),Full time
https://www.seek.com.au/job/80179318?type=standout&ref=search-standalone,Lead Control Systems Engineer,Paradigm Engineers Pty Ltd ,Perth WA,Electrical/Electronic Engineering (Engineering),Competitive salary,Full time
https://www.seek.com.au/job/80089448?type=standout&ref=search-standalone,Systems Engineer,SAGE Automation ,"Tonsley, Adelaide SA",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79898985?type=standout&ref=search-standalone,Controls Engineer,Dematic Pty Ltd ,"Notting Hill, Melbourne VIC",Materials Handling Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80257586?type=standout&ref=search-standalone,Automation & Software Engineer- Narrabri,Whitehaven Coal Limited ,"Newcastle, Newcastle, Maitland & Hunter NSW","Mining - Engineering & Maintenance (Mining, Resources & Energy)",Generous salary + bonus,Full time
https://www.seek.com.au/job/79741546?type=standout&ref=search-standalone,Control Systems Engineers,SAGE Automation ,"McMahons Point, Sydney NSW",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79899589?type=standout&ref=search-standalone,Controls Engineer,Dematic Pty Ltd ,"Belrose, Sydney NSW",Materials Handling Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79956583?type=standout&ref=search-standalone,Lead Control Systems Engineer,Alliance Automation ,"Gladstone, Gladstone & Central QLD",Systems Engineering (Engineering),Excellent salary and employee benefits available,Full time
https://www.seek.com.au/job/80088735?type=standout&ref=search-standalone,Test Automation Engineer,Preacta Recruitment ,Sydney NSW,Testing & Quality Assurance (Information & Communication Technology),"Up to $150,000 annual salary package",Full time
https://www.seek.com.au/job/79905330?type=standout&ref=search-standalone,Control Systems Engineer,Paxus ,Adelaide SA,Engineering - Network (Information & Communication Technology),Add expected salary to your profile for insights,Contract/Temp
https://www.seek.com.au/job/80257585?type=standout&ref=search-standalone,Automation & Software Engineer- Narrabri,Whitehaven Coal Limited ,"Tamworth, Tamworth & North West NSW","Mining - Engineering & Maintenance (Mining, Resources & Energy)",Generous salary + bonus,Full time
https://www.seek.com.au/job/80026160?type=standout&ref=search-standalone,Data & Control Systems Engineer II,Gilmour Space Technologies Pty Ltd ,"Bowen, Northern QLD",Systems Engineering (Engineering),Base Salary + Super,Full time
https://www.seek.com.au/job/79942536?type=standout&ref=search-standalone,Control Systems Engineer ,Intellect Systems ,Perth WA,Process Engineering (Engineering),Add expected salary to your profile for insights,Casual/Vacation
https://www.seek.com.au/job/80113271?type=standout&ref=search-standalone,Controls Engineer,Amazon Web Services ,Melbourne VIC,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79730774?type=standard&ref=search-standalone,Control Systems Engineer,Bloch Technologies Pty Ltd ,Perth WA,Electrical/Electronic Engineering (Engineering),"$100,000 – $150,000 per year",Full time
https://www.seek.com.au/job/79848253?type=standout&ref=search-standalone,Senior Control Systems Engineer,EEHA Automation Pty Ltd ,Perth WA,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80141485?type=standout&ref=search-standalone,Control Systems Engineer - Rockwell,NES Fircroft ,Brisbane QLD,Electrical/Electronic Engineering (Engineering),"$140,000 - $150,000 Base plus Super",Full time
https://www.seek.com.au/job/80243437?type=promoted&ref=search-standalone,(Senior) Quality Analyst / Engineer - QA Automation Testing,PartsCheck ,"Seventeen Mile Rocks, Brisbane QLD",Testing & Quality Assurance (Information & Communication Technology),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80099150?type=promoted&ref=search-standalone,Proposals and Sales Support Engineer - Control Systems,Metso Australia Pty Ltd ,"West Perth, Perth WA",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80242640?type=standout&ref=search-standalone,Senior Control Systems Engineer,Paradigm Engineers Pty Ltd ,Perth WA,Electrical/Electronic Engineering (Engineering),Competitive salary,Full time
https://www.seek.com.au/job/79751744?type=standout&ref=search-standalone,Control Systems Engineer,WorkTrybe ,"Albury, Albury Area NSW",Systems Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80113047?type=standout&ref=search-standalone,Automation Reliability Engineering Manager | Dandenong South,Primary Connect ,"Dandenong South, Melbourne VIC",Automotive Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80055748?type=standout&ref=search-standalone,Electrical and Controls Team Lead,Finisar ,"Rosebery, Sydney NSW",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79931779?type=standout&ref=search-standalone,Control Systems Engineer - Water/Wastewater,NES Fircroft ,Brisbane QLD,Electrical/Electronic Engineering (Engineering),"$162,000 to $173,000 Super included",Full time
https://www.seek.com.au/job/79704554?type=standard&ref=search-standalone,Control Systems Engineer,Paxus ,Adelaide SA,Engineering - Network (Information & Communication Technology),Add expected salary to your profile for insights,Contract/Temp
https://www.seek.com.au/job/79718949?type=standout&ref=search-standalone,Group Controls Engineer,CSR Limited ,"Wetherill Park, Sydney NSW",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79861931?type=standout&ref=search-standalone,Control Room Operator,Quintas Energy Australia ,Brisbane QLD,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80122573?type=standout&ref=search-standalone,AGV Technical Team Lead - Mobile Automation,Dematic Pty Ltd ,"Belrose, Sydney NSW",Materials Handling Engineering (Engineering),attractive package and great co benefits,Full time
https://www.seek.com.au/job/80013412?type=standout&ref=search-standalone,Control Systems Engineer,Workfast ,"Townsville, Northern QLD",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80179470?type=standard&ref=search-standalone,"Automation Technician - PERTH, Western Australia",Northbridge Recruitment ,Perth WA,Technicians (Trades & Services),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79677879?type=standout&ref=search-standalone,Autonomy Engineer,Brunel ,"East Perth, Perth WA",Engineering - Hardware (Information & Communication Technology),6-Figure Yearly Salary Equivalent,Contract/Temp
https://www.seek.com.au/job/80013698?type=standard&ref=search-standalone,Seeking EOI: Graduate Engineer (Mechanical / Electrical / Mechatronics),Good People HR ,"Bayside & South Eastern Suburbs, Melbourne VIC",Mechanical Engineering (Engineering),Market Leading Rates + Free Parking & Great Perks ,Full time
https://www.seek.com.au/job/79853755?type=standout&ref=search-standalone,Control Systems Engineer,Accenture ,Perth WA,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80019368?type=standout&ref=search-standalone,Staff/Lead Network Automation Engineer,Commonwealth Bank – Technology ,"Eveleigh, Sydney NSW",Engineering - Network (Information & Communication Technology),Annual Bonus,Full time
https://www.seek.com.au/job/79789398?type=standout&ref=search-standalone,Technical Sales Engineer - Industrial Automation,N/A,Sydney NSW,New Business Development (Sales),"$95,000 – $105,000 p/year + Super + Car + Bonus ",Full time
